,행정동명,일자,강수량,침수여부,펌프장최소거리,우수저류장최소거리
0,가음정동,2012-09-17,35.0,0,8590.891138372117,
1,가포동,2012-09-17,21.0,0,10714.369284915938,
2,경화동,2012-09-17,20.0,0,13688.780137258527,
3,교방동,2012-09-17,23.0,0,2960.2456707735287,
4,구산면,2012-09-17,20.0,0,2793.500313234495,
5,구암1동,2012-09-17,25.0,0,2247.2484367215798,
6,구암2동,2012-09-17,25.0,0,4018.6601519855926,
7,내서읍,2012-09-17,25.0,0,4383.829542550205,
8,대산면,2012-09-17,31.0,0,3513.579013823353,
9,덕산동,2012-09-17,20.0,0,3450.016212234761,
10,동읍,2012-09-17,30.0,0,4490.820427923042,
11,명곡동,2012-09-17,35.0,0,5884.050606738819,
12,문화동,2012-09-17,23.0,0,4720.876129491926,
13,반송동,2012-09-17,35.0,0,6658.614567780847,
14,병암동,2012-09-17,20.0,0,1945.3615146677496,
15,봉림동,2012-09-17,35.0,0,11345.605166398946,
16,봉암동,2012-09-17,23.0,0,9378.799647488086,
17,북면,2012-09-17,26.0,1,11819.627342175814,
18,사파동,2012-09-17,35.0,0,17370.90451776455,
19,산호동,2012-09-17,23.0,0,6499.468560511247,
20,상남동,2012-09-17,35.0,0,4134.816861369285,
21,석동,2012-09-17,20.0,0,2780.472642109629,
22,석전동,2012-09-17,25.0,0,2045.4248008723987,
23,성주동,2012-09-17,35.0,0,2381.3523567271027,
24,양덕1동,2012-09-17,25.0,0,1513.7939877146484,
25,양덕2동,2012-09-17,25.0,0,1826.1562208257303,
26,여좌동,2012-09-17,20.0,0,1038.3509937990418,
27,오동동,2012-09-17,23.0,1,1407.924800457089,
28,완월동,2012-09-17,23.0,0,1195.691879108311,
29,용지동,2012-09-17,35.0,0,6675.806969246626,
30,웅남동,2012-09-17,35.0,0,1928.411519226673,
31,웅동1동,2012-09-17,15.0,1,2349.3993802777754,
32,웅동2동,2012-09-17,15.0,1,2540.5109057922227,
33,웅천동,2012-09-17,19.0,0,3769.494041589109,
34,월영동,2012-09-17,23.0,0,1672.1386797433724,
35,의창동,2012-09-17,35.0,0,1502.3582747293776,
36,이동,2012-09-17,20.0,0,3173.084324785741,
37,자산동,2012-09-17,23.0,0,2331.307503389982,
38,자은동,2012-09-17,20.0,0,3353.487236062293,
39,중앙동(마산합포구),2012-09-17,23.0,0,3325.399051278609,
40,중앙동(성산구),2012-09-17,35.0,0,1144.990736777547,
41,진동면,2012-09-17,20.0,1,7716.709268856664,
42,진북면,2012-09-17,20.0,0,7894.267005708802,
43,진전면,2012-09-17,27.0,0,6926.583599115994,
44,충무동,2012-09-17,20.0,1,5772.1886047383405,
45,태백동,2012-09-17,20.0,0,7559.221143442717,
46,팔룡동,2012-09-17,35.0,0,8321.205454948153,
47,풍호동,2012-09-17,20.0,0,8546.887769131756,
48,합성1동,2012-09-17,25.0,0,8983.994289777964,
49,합성2동,2012-09-17,25.0,0,10591.33766966482,
50,합포동,2012-09-17,23.0,0,9723.189437963489,
51,현동,2012-09-17,21.0,0,10819.568981916253,
52,회성동,2012-09-17,25.0,0,6539.62455352558,
53,회원1동,2012-09-17,23.0,0,4936.499037864611,
54,회원2동,2012-09-17,23.0,0,1033.3577763509418,
55,가음정동,2012-09-18,0.0,0,8590.891138372117,
56,가포동,2012-09-18,0.0,0,10714.369284915938,
57,경화동,2012-09-18,0.0,0,13688.780137258527,
58,교방동,2012-09-18,0.0,0,2960.2456707735287,
59,구산면,2012-09-18,0.0,1,2793.500313234495,
60,구암1동,2012-09-18,0.0,0,2247.2484367215798,
61,구암2동,2012-09-18,0.0,0,4018.6601519855926,
62,내서읍,2012-09-18,0.0,0,4383.829542550205,
63,대산면,2012-09-18,0.0,0,3513.579013823353,
64,덕산동,2012-09-18,0.0,0,3450.016212234761,
65,동읍,2012-09-18,0.0,0,4490.820427923042,
66,명곡동,2012-09-18,0.0,0,5884.050606738819,
67,문화동,2012-09-18,0.0,0,4720.876129491926,
68,반송동,2012-09-18,0.0,0,6658.614567780847,
69,병암동,2012-09-18,0.0,0,1945.3615146677496,
70,봉림동,2012-09-18,0.0,0,11345.605166398946,
71,봉암동,2012-09-18,0.0,0,9378.799647488086,
72,북면,2012-09-18,0.0,1,11819.627342175814,
73,사파동,2012-09-18,0.0,0,17370.90451776455,
74,산호동,2012-09-18,0.0,0,6499.468560511247,
75,상남동,2012-09-18,0.0,0,4134.816861369285,
76,석동,2012-09-18,0.0,0,2780.472642109629,
77,석전동,2012-09-18,0.0,0,2045.4248008723987,
78,성주동,2012-09-18,0.0,0,2381.3523567271027,
79,양덕1동,2012-09-18,0.0,0,1513.7939877146484,
80,양덕2동,2012-09-18,0.0,0,1826.1562208257303,
81,여좌동,2012-09-18,0.0,0,1038.3509937990418,
82,오동동,2012-09-18,0.0,1,1407.924800457089,
83,완월동,2012-09-18,0.0,0,1195.691879108311,
84,용지동,2012-09-18,0.0,0,6675.806969246626,
85,웅남동,2012-09-18,0.0,0,1928.411519226673,
86,웅동1동,2012-09-18,0.0,1,2349.3993802777754,
87,웅동2동,2012-09-18,0.0,1,2540.5109057922227,
88,웅천동,2012-09-18,0.0,0,3769.494041589109,
89,월영동,2012-09-18,0.0,0,1672.1386797433724,
90,의창동,2012-09-18,0.0,0,1502.3582747293776,
91,이동,2012-09-18,0.0,0,3173.084324785741,
92,자산동,2012-09-18,0.0,0,2331.307503389982,
93,자은동,2012-09-18,0.0,0,3353.487236062293,
94,중앙동(마산합포구),2012-09-18,0.0,0,3325.399051278609,
95,중앙동(성산구),2012-09-18,0.0,0,1144.990736777547,
96,진동면,2012-09-18,0.0,1,7716.709268856664,
97,진북면,2012-09-18,0.0,0,7894.267005708802,
98,진전면,2012-09-18,0.0,0,6926.583599115994,
99,충무동,2012-09-18,0.0,1,5772.1886047383405,
100,태백동,2012-09-18,0.0,0,7559.221143442717,
101,팔룡동,2012-09-18,0.0,0,8321.205454948153,
102,풍호동,2012-09-18,0.0,0,8546.887769131756,
103,합성1동,2012-09-18,0.0,0,8983.994289777964,
104,합성2동,2012-09-18,0.0,0,10591.33766966482,
105,합포동,2012-09-18,0.0,0,9723.189437963489,
106,현동,2012-09-18,0.0,0,10819.568981916253,
107,회성동,2012-09-18,0.0,0,6539.62455352558,
108,회원1동,2012-09-18,0.0,0,4936.499037864611,
109,회원2동,2012-09-18,0.0,0,1033.3577763509418,
110,가음정동,2012-09-19,0.0,0,8590.891138372117,
111,가포동,2012-09-19,0.0,0,10714.369284915938,
112,경화동,2012-09-19,0.0,0,13688.780137258527,
113,교방동,2012-09-19,0.0,0,2960.2456707735287,
114,구산면,2012-09-19,0.0,1,2793.500313234495,
115,구암1동,2012-09-19,0.0,0,2247.2484367215798,
116,구암2동,2012-09-19,0.0,0,4018.6601519855926,
117,내서읍,2012-09-19,0.0,0,4383.829542550205,
118,대산면,2012-09-19,0.0,0,3513.579013823353,
119,덕산동,2012-09-19,0.0,0,3450.016212234761,
120,동읍,2012-09-19,0.0,0,4490.820427923042,
121,명곡동,2012-09-19,0.0,0,5884.050606738819,
122,문화동,2012-09-19,0.0,0,4720.876129491926,
123,반송동,2012-09-19,0.0,0,6658.614567780847,
124,병암동,2012-09-19,0.0,0,1945.3615146677496,
125,봉림동,2012-09-19,0.0,0,11345.605166398946,
126,봉암동,2012-09-19,0.0,0,9378.799647488086,
127,북면,2012-09-19,0.0,0,11819.627342175814,
128,사파동,2012-09-19,0.0,0,17370.90451776455,
129,산호동,2012-09-19,0.0,0,6499.468560511247,
130,상남동,2012-09-19,0.0,0,4134.816861369285,
131,석동,2012-09-19,0.0,0,2780.472642109629,
132,석전동,2012-09-19,0.0,0,2045.4248008723987,
133,성주동,2012-09-19,0.0,0,2381.3523567271027,
134,양덕1동,2012-09-19,0.0,0,1513.7939877146484,
135,양덕2동,2012-09-19,0.0,0,1826.1562208257303,
136,여좌동,2012-09-19,0.0,0,1038.3509937990418,
137,오동동,2012-09-19,0.0,0,1407.924800457089,
138,완월동,2012-09-19,0.0,0,1195.691879108311,
139,용지동,2012-09-19,0.0,0,6675.806969246626,
140,웅남동,2012-09-19,0.0,0,1928.411519226673,
141,웅동1동,2012-09-19,0.0,0,2349.3993802777754,
142,웅동2동,2012-09-19,0.0,0,2540.5109057922227,
143,웅천동,2012-09-19,0.0,0,3769.494041589109,
144,월영동,2012-09-19,0.0,0,1672.1386797433724,
145,의창동,2012-09-19,0.0,0,1502.3582747293776,
146,이동,2012-09-19,0.0,0,3173.084324785741,
147,자산동,2012-09-19,0.0,0,2331.307503389982,
148,자은동,2012-09-19,0.0,0,3353.487236062293,
149,중앙동(마산합포구),2012-09-19,0.0,0,3325.399051278609,
150,중앙동(성산구),2012-09-19,0.0,0,1144.990736777547,
151,진동면,2012-09-19,0.0,0,7716.709268856664,
152,진북면,2012-09-19,0.0,0,7894.267005708802,
153,진전면,2012-09-19,0.0,0,6926.583599115994,
154,충무동,2012-09-19,0.0,0,5772.1886047383405,
155,태백동,2012-09-19,0.0,0,7559.221143442717,
156,팔룡동,2012-09-19,0.0,0,8321.205454948153,
157,풍호동,2012-09-19,0.0,0,8546.887769131756,
158,합성1동,2012-09-19,0.0,0,8983.994289777964,
159,합성2동,2012-09-19,0.0,0,10591.33766966482,
160,합포동,2012-09-19,0.0,0,9723.189437963489,
161,현동,2012-09-19,0.0,0,10819.568981916253,
162,회성동,2012-09-19,0.0,0,6539.62455352558,
163,회원1동,2012-09-19,0.0,0,4936.499037864611,
164,회원2동,2012-09-19,0.0,0,1033.3577763509418,
165,가음정동,2014-08-25,68.0,0,8590.891138372117,
166,가포동,2014-08-25,80.0,0,10714.369284915938,
167,경화동,2014-08-25,49.0,0,13688.780137258527,
168,교방동,2014-08-25,77.0,0,2960.2456707735287,
169,구산면,2014-08-25,98.0,0,2793.500313234495,
170,구암1동,2014-08-25,71.0,0,2247.2484367215798,
171,구암2동,2014-08-25,71.0,0,4018.6601519855926,
172,내서읍,2014-08-25,64.0,0,4383.829542550205,
173,대산면,2014-08-25,56.0,0,3513.579013823353,
174,덕산동,2014-08-25,49.0,0,3450.016212234761,
175,동읍,2014-08-25,60.0,1,4490.820427923042,
176,명곡동,2014-08-25,74.0,0,5884.050606738819,
177,문화동,2014-08-25,77.0,0,4720.876129491926,
178,반송동,2014-08-25,69.0,0,6658.614567780847,
