구,동,침수여부,침수날짜,침수날짜2,강수 계속 시간,1시간 최다 강수량 1,1시간 최다 강수량2,일 강수량
의창구,동읍,1,"2006-07-12,2014-08-25",2014-08-25,,,9,
의창구,북면,1,2012-09-18,2014-08-25,,52,9,
의창구,대산면,1,2006-07-11,,,,,
의창구,의창동,0,,,,,,
의창구,팔룡동,0,,,,,,
의창구,명곡동,0,,,,,,
의창구,봉림동,0,,,,,,
성산구,용지동,0,,,,,,
성산구,반송동,0,,,,,,
성산구,중앙동,0,,,,,,
성산구,상남동,0,,,,,,
성산구,사파동,0,,,,,,
성산구,가음정동,0,,,,,,
성산구,성주동,0,,,,,,
성산구,웅남동,0,,,,,,
마산합포구,구산면,1,2012-09-19,,,23,,
마산합포구,진동면,1,2012-09-18,2014-08-25,,31,116,
마산합포구,진북면,1,2014-08-25,,,117,,
마산합포구,진전면,0,,,,,,
마산합포구,현동,1,2014-08-25,,,80,,
마산합포구,가포동,0,,,,,,
마산합포구,월영동,0,,,,,,
마산합포구,문화동,0,,,,,,
마산합포구,중앙동,0,,,,,,
마산합포구,완월동,0,,,,,,
마산합포구,자산동,0,,,,,,
마산합포구,교방동,0,,,,,,
,오동동,1,20191002,20191003,,73,73,
마산합포구,오동동,1,20120917,20120918,,30,30,
마산합포구,합포동,0,,,,,,
마산합포구,산호동,0,,,,,,
마산회원구,내서읍,0,,,,,,
마산회원구,회원1동,0,,,,,,
마산회원구,회원2동,0,,,,,,
마산회원구,석전동,0,,,,,,
마산회원구,회성동,0,,,,,,
마산회원구,양덕1동,1,20140825,,,71,,
마산회원구,양덕2동,1,,,,,,
마산회원구,합성1동,0,,,,,,
마산회원구,합성2동,0,,,,,,
,구암1동,1,20191002,20191003,,46,46,
,구암1동,1,20191002,20191003,,46,46,
마산회원구,구암1동,1,20191002,20191003,,46,46,
마산회원구,구암2동,,,,,,,
,봉암동,1,20140825,,,77,,
,봉암동,1,20140825,,,77,,
,봉암동,1,20140825,,,77,,
마산회원구,봉암동,1,20140825,,,77,,
진해구,충무동,1,20120917,20120918,,31,31,
진해구,여좌동,0,,,,,,
진해구,태백동,0,,,,,,
진해구,경화동,0,,,,,,
진해구,병암동,0,,,,,,
진해구,석동,0,,,,,,
진해구,이동,0,,,,,,
진해구,자은동,0,,,,,,
진해구,덕산동,0,,,,,,
진해구,풍호동,1,20161005,,,14,,
진해구,웅천동,0,,,,,,
진해구,웅동1동,0,,,,,,
진해구,웅동2동,1,20161005,,,11.8,,
진해구,웅동2동,1,20120917,20120918,,34,34,
